noun,syroj,mokryj,colour,code
клетка,200,10,#efdb0b,tool
гранула,198,10,black,other
фосфат,196,10,#b584b2,stuff
материя,196,10,#b584b2,stuff
медь,196,10,#b584b2,stuff
растение,191,10,#be10f4,plant
початок,190,10,#a5606f,fruit/food
мат,189,10,#efdb0b,tool
аргон,188,10,#b584b2,stuff
шихта,187,10,#b584b2,stuff
котлета,183,10,#8b6c48,food/блюдо
коренья,183,10,black,other
осина,181,10,#be10f4,plant
морковка,181,10,#be10f4,plant
конина,176,10,#4e4c52,stuff/food
костер,176,10,#a55a3a,space
сталь,175,10,#b584b2,stuff
заготовка,174,10,#3b4c0f,thing
помет,173,10,#b584b2,stuff
полночь,172,10,#a55a3a,space
объем,172,10,#7af917,param
земль,172,10,black,other
изделие,166,10,#3b4c0f,thing
шпон,164,10,black,other
чулан,163,10,#90e288,room
пастбище,163,10,#a55a3a,space
брикет,160,10,black,other
поляна,157,10,#a55a3a,space
каморка,157,10,black,other
шкурка,155,10,#b584b2,stuff
стружка,153,10,#b584b2,stuff
полимер,149,10,#b584b2,stuff
фракция,149,10,#b584b2,stuff
кукуруза,148,10,#be10f4,plant
женщина,145,10,#e0f506,hum
лощина,144,10,#a55a3a,space
баранина,142,10,#4e4c52,stuff/food
колодец,141,10,#2513a0,constr/space
корм,138,10,#1d6ab8,food:fodder
продукция,137,10,black,other
тепло,137,10,#4aed5d,psych:emot
чернозем,137,10,#b584b2,stuff
ельник,136,10,#b584b2,stuff
коновязь,133,10,#a55a3a,space
клубенек,132,10,black,other
сырье,129,10,black,other
дыра,129,10,#a55a3a,space
горох,128,10,#be10f4,plant
пшеница,127,10,#be10f4,plant
конура,127,10,#90e288,room
луковица,127,10,#a5606f,fruit/food
потолок,126,10,black,other
глицерин,125,10,#b584b2,stuff
здание,124,10,#bc5b0a,constr
фитомасса,123,10,black,other
плесень,121,10,#b584b2,stuff
нора,120,10,#90e288,room
склеп,120,10,#33866c,room/constr
лесоматериал,118,10,black,other
пространство,117,10,#a55a3a,space
сода,116,10,#b584b2,stuff
сквозняк,116,10,#37d248,weather
оттепель,115,10,black,other
ветчина,115,10,#fe59f7,stuff/food/изделие
мицелий,115,10,black,other
сила,114,10,#3dfd57,quant:max
краска,113,10,#60bdd3,impact
пульпа,112,10,#b584b2,stuff
мякоть,111,10,#b584b2,stuff
дрожжи,110,10,#47e51b,stuff/living
ложбинка,110,10,#a55a3a,space
духота,109,10,#37d248,weather
просо,107,10,#be10f4,plant
беизол,106,10,black,other
дух,106,10,#20d0a8,smell
гумус,106,10,#b584b2,stuff
мороз,104,10,#37d248,weather
комнатушка,103,10,black,other
великолепие,103,10,#27f80e,внешний вид
лепешка,102,10,#f413a3,food/изделие
одиночка,102,10,#3c1f72,animal
стужа,102,10,#983e1e,temper
боры,102,10,black,other
сени,101,10,#90e288,room
жилище,101,10,#a36b70,constr:@build
мысль,101,10,#b87649,ment
прогорклость,100,10,black,other
свинина,99,10,#4e4c52,stuff/food
пушнина,99,10,black,other
сливки,98,10,#4e4c52,stuff/food
месяц,97,10,#12550b,space/astr
казарма,97,10,#bc5b0a,constr
покрышка,97,10,#efdb0b,tool
гипс,96,10,#efdb0b,tool
старуха,95,10,#e0f506,hum
яичко,94,10,#3f2ae1,food
порода,93,10,#b584b2,stuff
землица,93,10,black,other
неф,92,10,black,other
кристалл,92,10,black,other
формовка,92,10,black,other
чурка,91,10,black,other
полумгла,91,10,black,other
рукопись,90,10,#99d6fc,text
матергал,87,10,black,other
полость,87,10,#a55a3a,space
стержень,84,10,black,other
кокс,82,10,#b584b2,stuff
сарай,82,10,#f89bb5,constr:@hut
палка,81,10,#efdb0b,tool
борозда,81,10,#a55a3a,space
скрип,79,10,#822b21,sound:@asp
корневище,79,10,black,other
репа,77,10,#be10f4,plant
планктон,77,10,black,other
комнатка,77,10,black,other
проба,76,10,#b584b2,stuff
фосфорит,76,10,#b584b2,stuff
н,75,10,black,other
панты,75,10,black,other
денек,75,10,black,other
осадки,74,10,#b584b2,stuff
осинник,74,10,#a55a3a,space
волокно,73,10,#b584b2,stuff
опиум,72,10,#b584b2,stuff
сосуд,70,10,#663eb1,tool:dish
кол,70,10,#0d134c,schoolmark
каолин,69,10,#b584b2,stuff
весы,69,10,#dc1799,tool:device:@measur:metr/tool:device
дымок,68,10,#b584b2,stuff
горечь,66,10,#4aed5d,psych:emot
лак,66,10,#b584b2,stuff
оттиск,66,10,#99d6fc,text
глазурь,66,10,#4e4c52,stuff/food
струя,66,10,#f2ce9d,?
корение,66,10,black,other
мозг,65,10,#b87649,ment
алюминий,65,10,#b584b2,stuff
прель,64,10,black,other
петербург,64,10,black,other
роса,63,10,#b584b2,stuff
груздь,63,10,#be10f4,plant
уголок,63,10,#0512ee,sign
землт,63,10,black,other
нитропродукт,63,10,black,other
легкое,62,10,black,other
аромат,62,10,#20d0a8,smell
тетива,62,10,black,other
мел,61,10,#8802ef,stuff/tool
груда,61,10,#3dfd57,quant:max
чугун,61,10,#663eb1,tool:dish
соединение,60,10,#b584b2,stuff
щепа,60,10,#b584b2,stuff
реальность,60,10,black,other
орех,60,10,#d7d8bf,plant/stuff
ивняк,60,10,#a55a3a,space
лиственничник,60,10,black,other
злак,59,10,#be10f4,plant
застенок,58,10,#a55a3a,space
тыква,58,10,#be10f4,plant
земелька,58,10,black,other
спичка,57,10,#efdb0b,tool
гул,57,10,#6329da,sound
опушка,57,10,#a55a3a,space
нафталин,57,10,#b584b2,stuff
погонщик,57,10,#5db35f,hum/prof
дверь,56,10,#a55a3a,space
брюква,56,10,#be10f4,plant
земелюшка,56,10,black,other
тунец,56,10,#e0f95a,animal:@fish/food
изморозь,56,10,#b584b2,stuff
низинка,56,10,black,other
действительность,55,10,#eab611,be:exist?
помидор,55,10,#be10f4,plant
п,54,10,black,other
природа,53,10,#a55a3a,space
колонна,53,10,#bc5b0a,constr
оппозиция,52,10,#7684f1,group
катакомба,51,10,black,other
кетон,51,10,black,other
полуподвал,51,10,black,other
низменность,51,10,#a55a3a,space
почка,50,10,black,other
тальник,50,10,#081ac1,plant:@bush/space
покров,50,10,#459c81,tool:@bedding
страна,50,10,#a55a3a,space
цемент,49,10,#b584b2,stuff
идея,49,10,#b87649,ment
свинец,49,10,#b584b2,stuff
острог,49,10,#a36b70,constr:@build
боб,49,10,#be10f4,plant
корнеплод,48,10,#be10f4,plant
документ,48,10,#99d6fc,text
полянка,48,10,#a55a3a,space
испарение,47,10,#b584b2,stuff
тес,47,10,black,other
переулок,47,10,#a55a3a,space
настроение,47,10,#fc27ac,psych
красота,47,10,black,other
джут,46,10,#be10f4,plant
поток,46,10,#7684f1,group
ворота,45,10,#bc5b0a,constr
номер,45,10,#81bec7,sign/tool
переход,45,10,#281004,space/constr
жилье,44,10,#90e288,room
щекотка,44,10,#629ff4,perc
пропасть,44,10,#3dfd57,quant:max
пустота,44,10,#a55a3a,space
рудник,44,10,#dbb91b,org/space
матушка,44,10,#e0f506,hum
теплота,43,10,#983e1e,temper
фасад,43,10,black,other
бифштекс,43,10,#8b6c48,food/блюдо
литератор,43,10,#5db35f,hum/prof
тоннель,43,10,#2513a0,constr/space
жизнь,42,10,#4fe8b7,be:exist
равнина,42,10,#a55a3a,space
комплекция,42,10,#eeef33,physiol
натура,41,10,#5db35f,hum/prof
ольха,41,10,#be10f4,plant
дерн,41,10,black,other
потемки,41,10,#5d651e,light
кто,41,10,black,other
башня,41,10,#bc5b0a,constr
валка,40,10,#d48798,impact:creat
спальня,40,10,#90e288,room
пах,40,10,#a55a3a,space
темь,40,10,#99046e,light/neg
способ,10,7293,#01c659,asp
дело,10,4713,#26f855,org
губа,10,4679,#90e288,room
щека,10,4128,black,other
лоб,10,3972,#e0f506,hum
нос,10,3084,black,other
платок,10,2990,#fb3711,linen/access
спина,10,2988,black,other
ладонь,10,2521,black,other
крыша,10,2504,black,other
помол,10,2304,#60bdd3,impact
очистка,10,2215,#81085c,changest
обогащение,10,2114,black,other
обработка,10,1975,black,other
озоление,10,1876,black,other
стекло,10,1849,#b584b2,stuff
сжигание,10,1789,black,other
термометр,10,1747,#200fa1,tool:device:@measur:metr
штаны,10,1727,#547d5b,tool:cloth
ус,10,1709,#7f3593,hair
