noun,vlazhnyj,mokryj,colour,code
провизия,10,68,#f71b76,food
покрытие,10,67,#ff2c80,stuff/tool
осока,10,66,#78a304,plant
известка,10,66,#555aa4,stuff
балка,10,66,#2e58bf,space
камешек,10,66,black,other
ухо,10,65,#51e41b,tool
жижа,10,64,#1118a0,stuff/liq
тюк,10,64,#51e41b,tool
крупа,10,64,#555aa4,stuff
холм,10,64,#2e58bf,space
полог,10,64,#51e41b,tool
конница,10,64,#2b5fa4,group
плеть,10,63,#e07e5e,constr
котенок,10,63,#a6109a,hum$
плетень,10,63,#e07e5e,constr
чай,10,61,#8ab550,stuff/food/liq
консервация,10,61,black,other
слеза,10,61,#555aa4,stuff
кот,10,60,#a6109a,hum$
травинка,10,60,#78a304,plant
амуниция,10,60,black,other
мяч,10,59,#51e41b,tool
изба,10,59,#ed08fa,constr:@build
дрань,10,59,black,other
охотник,10,59,#ed5c19,hum
толпа,10,59,#2b5fa4,group
столик,10,59,#2cb39f,tool:furn
крыса,10,59,#85458d,animal
перышко,10,59,#b2fa07,hair$
бушлат,10,58,#2fc8f3,tool:cloth
слива,10,58,#78a304,plant
регенерация,10,57,#47a12a,impact:creat
развод,10,57,#d7623e,inter:прекращение
одежонка,10,57,black,other
трос,10,57,#51e41b,tool
сероочистка,10,57,black,other
свитер,10,56,#2fc8f3,tool:cloth
валежник,10,56,black,other
сосок,10,56,black,other
шаровары,10,56,#2fc8f3,tool:cloth
соус,10,55,#555aa4,stuff
солдат,10,55,#ed5c19,hum
калоша,10,55,black,other
шахта,10,55,#2e58bf,space
мол,10,54,#e07e5e,constr
столица,10,54,#2e58bf,space
шина,10,54,#51e41b,tool
трус,10,54,#ed5c19,hum
чаща,10,54,#92b011,quant:max
трясина,10,54,#2e58bf,space
пакет,10,54,#51e41b,tool
космос,10,53,#2e58bf,space
кашица,10,53,#555aa4,stuff
трикотаж,10,53,black,other
васька,10,52,black,other
башмачок,10,52,black,other
тайга,10,52,#2e58bf,space
лоза,10,52,#e2beb4,form
овраг,10,52,#2e58bf,space
пылеподавление,10,52,black,other
броня,10,51,#555aa4,stuff
верхушка,10,51,#04a42e,ment
узелок,10,51,black,other
сидение,10,51,black,other
тонкошея,10,51,black,other
березка,10,51,black,other
перекладина,10,51,#51e41b,tool
ромашка,10,51,#555aa4,stuff
личико,10,51,black,other
отражение,10,51,#28f10f,ment?
труп,10,50,black,other
башлык,10,50,#2fc8f3,tool:cloth
девочка,10,50,#cdc94d,animal$
нитка,10,50,#e2beb4,form
пряжа,10,50,#555aa4,stuff
ракита,10,50,#78a304,plant
щель,10,49,#7b3a09,space/constr
городок,10,49,#51e41b,tool
козырек,10,49,black,other
жгут,10,48,#51e41b,tool
шлепанье,10,48,black,other
карман,10,48,#2e58bf,space
товар,10,48,#291491,thing
карцер,10,48,#a736da,room
хром,10,48,#555aa4,stuff
рюмка,10,48,#a42986,tool:dish
парк,10,48,#94eec9,org
девка,10,48,#ed5c19,hum
ветошка,10,47,black,other
щебенка,10,47,#555aa4,stuff
стук,10,47,#3e72b8,sound:@asp
темя,10,47,black,other
извозчик,10,47,#67e9ac,hum/prof
роба,10,47,#2fc8f3,tool:cloth
кнут,10,47,black,other
хребет,10,47,#2e58bf,space
они,10,46,black,other
подмышка,10,46,#2e58bf,space
стог,10,46,black,other
рубашонка,10,46,black,other
наст,10,46,#555aa4,stuff
завиток,10,46,#6e4398,hair/form
подвал,10,46,#a736da,room
набережная,10,46,#2e58bf,space
валежин,10,45,black,other
камыш,10,45,#2e58bf,space
опорок,10,45,black,other
торец,10,45,#2e58bf,space
кабинка,10,45,black,other
травка,10,45,#555aa4,stuff
пяток,10,45,black,other
капуста,10,44,#78a304,plant
бутылочка,10,44,black,other
центифолия,10,44,black,other
комбинезон,10,44,#2fc8f3,tool:cloth
порт,10,44,#94eec9,org
рюкзак,10,44,#51e41b,tool
коленка,10,44,black,other
голубь,10,44,#a6109a,hum$
подошва,10,44,#2e58bf,space
поршень,10,44,black,other
шнур,10,43,#51e41b,tool
цепь,10,43,#e2beb4,form
отрепье,10,43,black,other
цыпленок,10,43,#85458d,animal
кошелек,10,43,#51e41b,tool
собачонка,10,42,black,other
металл,10,42,#555aa4,stuff
капитан,10,42,#ed5c19,hum
падь,10,42,black,other
шпала,10,42,#01baa7,sign
куртина,10,42,#e07e5e,constr
чемодан,10,42,#51e41b,tool
пучок,10,42,black,other
сноп,10,42,black,other
чекмень,10,42,#2fc8f3,tool:cloth
лог,10,42,#2e58bf,space
косынка,10,41,#2fc8f3,tool:cloth
сдача,10,41,#3898a7,inter
спица,10,41,black,other
кофта,10,41,#2fc8f3,tool:cloth
трап,10,41,#51e41b,tool
папироса,10,40,#51e41b,tool
комната,10,40,#a736da,room
письмо,10,40,#9ea46b,asp
брюхо,10,40,#2e58bf,space
сигарета,10,40,#51e41b,tool
локоть,10,40,#d55280,unit
сетка,10,40,#51e41b,tool
зеркало,10,40,#c4572f,param$
